model,accuracy,f1_macro,f1_weighted
logistic regression pca,0.6021505376344086,0.4428948884518346,0.5764463644071218
svm baseline,0.5806451612903226,0.4183149168952989,0.5546601613025018
pca variance sweep,0.5645161290322581,0.40638681189284664,0.5441615087316132
svm,0.43010752688172044,0.3968128095404427,0.44851627886155315
svm tuned,0.43010752688172044,0.3968128095404427,0.44851627886155315
logistic regression baseline,0.532258064516129,0.37632503254717725,0.5189604873540725
MLP,0.5645161290322581,0.353086739838101,0.5219358184114347
autoencoder,0.5376344086021505,0.35307242465137206,0.5200452744765138
